"","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"54",53,20150323,720000,4,2.5,3450,39683,2,0,0,3,10,3450,2002,0,98010,47.342,-122.025,3350,39750
"55",54,20141202,390000,3,2.5,2350,5100,2,0,0,3,8,2350,2003,0,98038,47.3512,-122.008,2350,5363
"56",55,20141222,360000,4,2.5,1900,5889,2,0,0,3,7,1900,1992,0,98038,47.349,-122.031,1870,6405
"57",56,20150128,356000,3,1.5,1680,8712,1,0,0,3,8,1680,1964,0,98059,47.4811,-122.149,1850,8797
"58",57,20140602,315000,3,1,960,6634,1,0,0,3,6,960,1952,0,98125,47.7264,-122.31,1570,7203
"59",58,20141114,940000,3,1.5,2140,3600,2,0,0,3,9,1900,1925,0,98119,47.6337,-122.365,2020,4800
"60",59,20141103,305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,1961,0,98092,47.2909,-122.189,1590,8165
"61",60,20140904,335000,2,1.75,1030,1066,2,0,0,3,7,765,2006,0,98136,47.5394,-122.387,1030,1106
"62",61,20140522,243500,4,2.5,1980,7403,2,0,0,3,7,1980,1988,0,98023,47.2897,-122.372,1980,7510
"63",62,20150311,1099880,5,2.75,3520,6353,2,0,0,4,10,3520,2001,0,98199,47.6506,-122.391,2520,6250
"64",63,20150226,153000,3,1,1200,10500,1,0,0,3,7,1200,1962,0,98023,47.322,-122.351,1350,10500
"65",64,20141223,7e+05,3,1.5,1580,5000,1,0,0,3,8,1290,1939,0,98117,47.687,-122.386,1570,4500
"66",65,20150330,247500,3,1.75,1960,15681,1,0,0,3,7,1960,1967,0,98032,47.3576,-122.277,1750,15616
"67",66,20140912,199000,4,1.5,1160,6400,1,0,0,4,7,1160,1975,0,98023,47.3036,-122.378,1160,6400
"68",67,20140516,437500,3,2.5,2320,36847,2,0,2,3,9,2320,1992,0,98045,47.4838,-121.714,2550,35065
"69",68,20140611,850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,1910,0,98102,47.6415,-122.315,2200,4500
"70",69,20141212,699950,3,2.25,2190,107593,2,0,0,4,8,2190,1983,0,98077,47.7731,-122.08,2570,47777
"71",70,20140924,290000,3,1,1210,33919,1,0,0,3,7,1210,1954,0,98058,47.4375,-122.184,1640,14910
"72",71,20140723,188500,2,1.75,1240,2493,1,0,0,4,8,1240,1985,0,98198,47.3813,-122.322,1270,4966
"73",72,20150305,680000,4,2.5,3140,28037,2,0,0,4,10,3140,1991,0,98077,47.7304,-122.082,2990,35001
"74",73,20140725,597750,4,2.5,2310,9624,2,0,0,3,8,2310,1984,0,98027,47.5386,-122.053,1940,9636
"75",74,20150304,570000,3,1.75,1260,3328,1,0,0,5,6,700,1905,0,98103,47.6823,-122.349,1380,3536
"76",75,20140916,272500,3,1.75,1540,12600,1,0,0,4,7,1160,1980,0,98038,47.3624,-122.031,1540,11656
"77",76,20141124,329950,3,1.75,2080,5969,1,0,2,3,7,1080,1971,0,98108,47.5474,-122.295,2090,5500
"78",77,20141028,480000,4,2.5,3230,16171,2,0,3,3,9,2520,2001,0,98001,47.3183,-122.253,2640,8517
"79",78,20141121,740500,3,3.5,4380,6350,2,0,0,3,8,2780,1900,1999,98117,47.6981,-122.368,1830,6350
"80",79,20140626,518500,3,3.5,1590,1102,3,0,0,3,8,1590,2010,0,98103,47.6824,-122.347,1620,3166
"81",80,20140623,205425,2,1,880,6780,1,0,0,4,6,880,1945,0,98178,47.5009,-122.248,1190,6780
"82",81,20150108,171800,4,2,1570,9600,1,0,0,3,6,1570,1950,0,98168,47.4965,-122.303,1880,9000
"83",82,20150102,660000,3,2.5,2400,6474,1,0,2,3,8,1560,1964,0,98177,47.7728,-122.386,2340,10856
"84",83,20141104,445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,1924,0,98118,47.5299,-122.266,1850,4400
"85",84,20140717,445000,3,2.25,2100,8201,1,0,2,3,8,1620,1967,0,98178,47.5091,-122.244,2660,8712
"86",85,20140717,260000,4,2.25,2160,8811,1,0,0,3,8,1360,1978,0,98023,47.3129,-122.39,2090,8400
"87",86,20140613,822500,5,3.5,2320,4960,2,0,0,5,7,1720,1926,0,98103,47.6763,-122.352,1700,4960
"88",87,20150428,660500,4,2.25,2010,9603,1,0,0,3,8,1440,1986,0,98027,47.5343,-122.054,2060,9793
"89",88,20150126,675000,4,3.5,2140,2278,3,0,0,3,9,2140,2005,0,98107,47.6734,-122.38,1540,2285
"90",89,20140813,199000,3,1.75,1320,17390,1,0,0,4,7,1320,1956,0,98003,47.3257,-122.296,1550,19265
"91",90,20140805,220000,4,1.75,2020,7840,1,0,0,3,7,1010,1968,0,98003,47.3309,-122.299,1750,8140
"92",91,20140529,452000,4,2.25,2590,10002,1,0,0,4,8,1340,1968,0,98028,47.7689,-122.266,1550,10436
"93",92,20140707,382500,2,1,1190,4440,1,0,0,3,6,1190,1981,0,98125,47.7135,-122.287,1060,5715
"94",93,20140507,519950,3,2.25,1170,1249,3,0,0,3,8,1170,2014,0,98107,47.6722,-122.381,1350,1310
"95",94,20150415,420000,3,1,1060,8097,1,0,0,4,7,940,1923,0,98133,47.7144,-122.351,1560,7940
"96",95,20141203,921500,4,2.5,3670,315374,2,0,0,4,9,3670,1994,0,98077,47.7421,-122.026,2840,87991
"97",96,20140820,532170,3,2,1360,3090,2,0,0,3,8,1360,1990,0,98103,47.6838,-122.353,1500,3090
"98",97,20150409,560000,3,1,1110,5000,1.5,0,0,3,7,1110,1947,0,98107,47.655,-122.359,1420,5000
"99",98,20150401,2250000,4,3.25,5180,19850,2,0,3,3,12,3540,2006,0,98006,47.562,-122.162,3160,9750
"100",99,20140728,215000,3,1,1180,7669,1,0,0,4,7,1180,1967,0,98058,47.4479,-122.176,1190,7669
"101",100,20141120,650000,5,3.5,3960,25245,2,0,0,3,9,2500,1996,0,98056,47.525,-122.172,2640,13675
"102",101,20141003,320000,4,1.75,1760,11180,1,0,0,4,8,1760,1968,0,98059,47.4715,-122.118,1730,11180
"103",102,20140507,255000,5,2.25,2060,8632,1,0,0,3,7,1030,1962,0,98146,47.4877,-122.335,1010,11680
"104",103,20150309,438000,3,1.75,1780,9660,1,0,0,3,7,1780,1962,0,98034,47.7171,-122.193,1200,9660
"105",104,20150304,9e+05,3,2.5,3400,16603,2,0,0,3,10,3400,2000,0,98075,47.6012,-122.023,3400,12601
"106",105,20140620,441000,3,2.75,1910,7280,1,0,0,3,7,1160,1979,0,98034,47.7319,-122.224,1710,8152
"107",106,20140812,420000,3,2,2020,38332,1,0,0,4,7,1010,1975,0,98027,47.4582,-122.023,2110,36590
"108",107,20141208,370000,3,1.75,1580,7000,1,0,0,3,7,1180,1976,0,98034,47.7209,-122.168,1640,7500
"109",108,20150219,269950,2,1.75,1340,7250,1,0,0,5,5,700,1949,0,98198,47.408,-122.327,1830,9750
"110",109,20150324,807100,4,2.5,2680,4499,2,0,0,3,9,2680,1999,0,98006,47.565,-122.125,2920,4500
"111",110,20140605,653000,3,2.5,2680,9750,1,0,0,4,8,1610,1979,0,98034,47.7028,-122.231,2480,8750
"112",111,20140611,371500,3,2,1370,8336,1,0,0,5,7,1370,1964,0,98133,47.7458,-122.331,1770,7288
"113",112,20150316,284000,3,1.75,1560,21000,1,0,0,3,7,1560,1954,0,98166,47.4776,-122.337,1070,7920
"114",113,20150102,272000,3,1.75,2160,7140,1,0,0,4,7,1670,1978,0,98023,47.3026,-122.374,1930,7350
"115",114,20140502,313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,1955,0,98133,47.7658,-122.339,1480,7940
"116",115,20150116,917500,4,2.5,3880,35003,2,0,0,3,10,2570,1984,0,98033,47.6477,-122.182,3740,35230
"117",116,20140929,673000,4,2.25,2590,8190,2,0,0,4,8,2590,1980,0,98006,47.5619,-122.125,2260,8335
"118",117,20150210,425000,3,2.5,1120,1100,2,0,0,3,8,820,2008,0,98122,47.6106,-122.31,1590,1795
"119",118,20140530,385000,3,1,1220,4800,1,0,0,3,6,1220,1901,0,98122,47.6101,-122.307,1200,4800
"120",119,20150107,330000,2,1,1350,8220,1,0,0,3,7,1060,1949,0,98177,47.7224,-122.358,1540,8280
"121",120,20150414,470000,4,3,2380,5125,1.5,0,0,4,7,1680,1925,0,98126,47.5384,-122.376,1410,5375
"122",121,20140613,589000,4,3,2440,9600,2,0,0,5,7,2440,1961,0,98034,47.7044,-122.2,2290,9600
"123",122,20140723,163500,2,1.5,1050,3419,2,0,0,3,7,1050,1996,0,98038,47.3848,-122.039,1050,3417
"124",123,20140905,835000,4,2.75,3130,13412,2,0,0,3,9,2140,1993,0,98052,47.6993,-122.102,2260,9984
"125",124,20141121,1095000,5,3,4090,12850,1,0,2,4,10,2090,1986,0,98033,47.6627,-122.188,2540,10270
"126",125,20150415,269000,4,1.75,1490,10000,1,0,0,4,8,1100,1969,0,98023,47.3099,-122.379,2190,8910
"127",126,20140505,560000,3,2.5,1900,8744,2,0,0,3,8,1900,1987,0,98074,47.62,-122.043,2030,8744
"128",127,20141205,585188,3,2.25,2230,10026,1,0,0,3,8,1430,1975,0,98052,47.6647,-122.153,2230,9340
"129",128,20140818,305000,3,1.75,1650,9480,1,0,0,3,7,1220,1977,0,98034,47.726,-122.191,1540,8400
"130",129,20141105,166950,3,1,1190,8820,1,0,0,3,6,1190,1959,0,98058,47.4616,-122.184,1230,7980
"131",130,20140625,4e+05,3,2.5,2180,7508,1,0,0,4,7,1420,1962,0,98133,47.7606,-122.336,1900,7818
"132",131,20141201,230000,3,1,1060,10228,1,0,0,3,7,1060,1948,0,98155,47.7481,-122.3,1570,10228
"133",132,20140515,256883,3,2.5,1690,5025,2,0,0,3,8,1690,2003,0,98023,47.2779,-122.347,2550,5001
"134",133,20141111,423000,4,2,1970,6480,1.5,0,0,5,7,1130,1920,0,98108,47.5511,-122.312,1500,6480
"135",134,20150113,440000,3,2.5,1910,66211,2,0,0,3,7,1910,1997,0,98024,47.5385,-121.911,2330,67268
"136",135,20141014,385000,3,1.75,1350,155073,1,0,0,4,7,1350,1969,0,98038,47.4058,-121.994,1560,50965
"137",136,20141112,297000,3,2.5,1940,14952,2,0,0,3,8,1940,1994,0,98042,47.3777,-122.165,2030,10450
"138",137,20140716,470000,3,1,1010,5000,1,0,0,3,7,1010,1952,0,98107,47.675,-122.394,1680,5000
"139",138,20140804,226500,3,1.5,1300,7370,1,0,0,4,7,900,1976,0,98023,47.3025,-122.37,1430,7500
"140",139,20150303,274250,3,1,910,8450,1,0,0,4,6,910,1962,0,98059,47.4787,-122.158,1400,8040
"141",140,20140804,840000,4,1.75,2480,11010,1,0,0,4,9,1630,1966,0,98040,47.5378,-122.219,2770,10744
"142",141,20140919,677900,3,2.5,2440,4587,2,0,0,3,8,2440,2010,0,98052,47.7073,-122.114,2750,4587
"143",142,20150205,425000,3,1,1010,5864,1,0,0,3,7,1010,1915,0,98116,47.5733,-122.381,1290,5000
"144",143,20141123,180250,2,0.75,900,9600,1,0,0,3,6,900,1941,0,98166,47.4604,-122.339,1250,14280
"145",144,20150422,320000,4,2.25,1550,7579,2,0,0,3,8,1550,1993,0,98038,47.354,-122.047,1630,6397
"146",145,20140717,625504,3,2.25,1270,1566,2,0,0,3,8,1060,2014,0,98105,47.6647,-122.284,1160,1327
"147",146,20140515,592500,4,2.5,2240,12032,1,0,0,3,9,2240,1983,0,98074,47.6143,-122.017,2520,12368
"148",147,20150114,465000,3,2.5,2714,17936,2,0,0,3,9,2714,2005,0,98001,47.3185,-122.275,2590,18386
"149",148,20140527,477000,4,2.75,1720,6270,2,0,0,3,8,1720,1978,0,98118,47.5458,-122.268,2130,8700
"150",149,20150221,1505000,5,3,3300,33474,1,0,3,3,9,1870,1957,1991,98040,47.5673,-122.21,3836,20953
"151",150,20140828,1072000,2,2.25,3900,14864,1,0,3,3,8,1950,1947,0,98144,47.5884,-122.291,2580,5184
"152",151,20141023,467000,2,1.5,1320,10800,1,0,0,4,8,1320,1947,0,98177,47.7145,-122.367,2120,12040
"153",152,20140605,279950,3,2,1750,9750,1,0,0,3,7,1350,1961,0,98198,47.398,-122.299,1900,10125
"154",153,20140904,527000,4,2.25,2330,19436,2,0,0,3,8,2330,1987,0,98011,47.7663,-122.215,1910,10055
"155",154,20140918,325000,3,2.25,2220,16020,1,0,0,4,8,1780,1966,0,98030,47.3758,-122.217,2080,9583
"156",155,20140903,328000,3,2.25,2020,8379,2,0,0,3,7,2020,1994,0,98038,47.3828,-122.023,2020,8031
"157",156,20140604,390000,3,2.25,1250,7500,1,0,0,5,7,1250,1942,0,98146,47.5123,-122.373,1280,7392
"158",157,20140529,264950,4,2.25,1720,9753,1,0,0,4,7,1120,1978,0,98023,47.2922,-122.371,1510,9753
"159",158,20150115,235000,3,1,1430,15246,1,0,0,4,7,980,1961,0,98031,47.4075,-122.214,1960,13068
"160",159,20150303,516500,3,2.5,1480,4729,2,0,0,3,7,1480,2004,0,98053,47.6794,-122.034,2250,4729
"161",160,20150413,655000,2,1.75,1450,15798,2,1,4,3,7,1230,1915,1978,98166,47.4497,-122.375,2030,13193
"162",161,20140616,5e+05,4,2.75,2280,15347,1,0,0,5,7,2280,1960,0,98059,47.5218,-122.164,2280,15347
"163",162,20141120,213000,2,1,1000,10200,1,0,0,3,6,1000,1961,0,98024,47.5687,-121.899,1150,13702
"164",163,20140902,475000,3,1.5,2480,5280,1.5,0,0,5,7,1620,1947,0,98108,47.5575,-122.303,2090,4800
"165",164,20140610,1025000,5,4,3760,28040,2,0,0,3,10,3760,1983,0,98033,47.6489,-122.183,3430,35096
"166",165,20150409,416000,3,2,2220,94300,1,0,0,5,7,1640,1976,0,98010,47.3459,-121.95,2070,80100
"167",166,20150320,410000,4,1,1970,4740,1.5,0,0,3,7,1670,1904,2005,98122,47.6136,-122.303,1510,4740
"168",167,20140701,8e+05,3,3.5,3830,221284,2,0,0,3,10,3530,1993,0,98077,47.7641,-122.023,2920,148539
"169",168,20140529,472000,6,2.5,4410,14034,1,0,2,4,9,2350,1965,0,98003,47.3376,-122.324,2600,13988
"170",169,20141208,225000,3,1.75,1430,8505,1,0,0,4,7,1430,1968,0,98003,47.3173,-122.319,1190,8640
"171",170,20141001,210000,2,1,830,6000,1,0,0,3,6,830,1940,0,98126,47.5308,-122.376,830,4960
"172",171,20150427,225000,3,1,1300,8316,1,0,0,4,6,1300,1954,0,98002,47.3221,-122.216,1260,8316
"173",172,20140826,480000,2,1,1030,3060,1,0,2,4,7,790,1918,0,98103,47.6779,-122.353,1390,3060
"174",173,20150212,363000,3,2.5,2740,11872,2,0,0,3,9,2740,1990,0,98023,47.3076,-122.395,2570,10377
"175",174,20140929,2400000,4,2.5,3650,8354,1,1,4,3,9,1830,2000,0,98074,47.6338,-122.072,3120,18841
"176",175,20150226,181000,2,1.5,720,5120,1,0,0,3,6,720,1954,0,98106,47.5218,-122.357,1150,2566
"177",176,20150314,250000,4,2,2010,7312,1,0,0,4,7,2010,1976,0,98002,47.2785,-122.213,2010,7650
"178",177,20140923,260000,3,2,1810,7209,1,0,0,4,7,1240,1978,0,98032,47.3656,-122.278,1750,7209
"179",178,20140513,455000,4,2.5,3360,7685,2,0,0,3,9,3360,2001,0,98058,47.4369,-122.111,3060,6567
"180",179,20141020,385000,4,1.75,2360,7620,1,0,0,4,7,1180,1955,0,98106,47.5278,-122.345,1910,7620
"181",180,20150211,315000,3,1.75,1580,11455,1,0,0,4,7,1200,1974,0,98059,47.4756,-122.147,1550,10650
"182",181,20141124,255000,3,1,1230,10170,1,0,0,3,7,1230,1979,0,98045,47.4437,-121.772,1380,10098
"183",182,20140829,693000,4,2.5,2460,4425,2,0,0,3,8,2460,2006,0,98052,47.7048,-122.109,2990,5659
"184",183,20141202,780000,3,1,1660,4400,1.5,0,0,3,8,1460,1911,0,98112,47.6362,-122.302,1660,4400
"185",184,20141024,237000,3,1.75,1270,8470,1,0,0,4,7,1270,1960,0,98198,47.4207,-122.29,1600,8470
"186",185,20141216,525000,3,2.25,2100,40510,2,0,0,3,10,1320,1979,0,98074,47.6154,-122.047,2380,33450
"187",186,20150428,425000,2,1,770,5040,1,0,0,3,5,770,1930,0,98144,47.5964,-122.299,1330,2580
"188",187,20140519,290000,4,2.5,1700,7280,2,0,0,4,7,1700,1988,0,98031,47.4045,-122.171,1950,7475
"189",188,20140929,285000,3,1,1120,10701,1,0,0,3,7,1120,1954,0,98106,47.5544,-122.358,1130,6350
"190",189,20140814,415000,2,1,1070,4500,1,0,0,3,7,1070,1937,0,98115,47.6802,-122.29,1320,4465
"191",190,20150409,272500,3,2.5,2070,9900,1,0,0,3,8,1420,1979,0,98023,47.2988,-122.371,2070,8250
"192",191,20150504,2900000,4,3.25,5050,20100,1.5,0,2,3,11,4750,1982,2008,98004,47.6312,-122.223,3890,20060
"193",192,20141007,1365000,4,4.75,5310,57346,2,0,0,4,11,5310,1989,0,98077,47.7285,-122.042,4180,47443
"194",193,20141017,210000,3,1,1700,11390,1,0,0,4,7,1700,1967,0,98003,47.3271,-122.323,1350,8164
"195",194,20141124,331000,3,1.75,1080,1306,1,0,0,3,7,580,1954,2003,98199,47.6601,-122.4,1440,2225
"196",195,20150320,365000,3,2.5,2653,4510,2,0,0,3,8,2653,2006,0,98031,47.4145,-122.166,2653,4927
"197",196,20141113,770000,4,2.75,3820,26300,2,0,0,3,9,2850,2014,0,98028,47.7618,-122.261,1860,12136
"198",197,20150505,405000,3,1.75,2390,6000,1,0,0,3,6,1240,1908,0,98118,47.5362,-122.268,2020,6000
"199",198,20150227,170000,2,1,860,5265,1,0,0,3,6,860,1931,0,98178,47.5048,-122.272,1650,8775
"200",199,20150513,2050000,5,3,3830,8480,2,0,1,5,9,2630,1905,1994,98122,47.6166,-122.287,3050,7556
"201",200,20140630,780000,4,2.5,3500,7048,2,0,0,3,9,3500,2005,0,98053,47.6811,-122.025,3920,7864
"202",201,20150410,330000,3,3,2420,13959,1,0,0,4,8,1740,1988,0,98028,47.7486,-122.23,2570,13300
"203",202,20140905,370000,4,2.5,2720,8666,2,0,0,3,9,2720,1992,0,98030,47.3846,-122.169,2410,8100
"204",203,20150209,405000,3,1.75,1670,6720,1,0,0,3,7,1140,1980,0,98034,47.7198,-122.193,1670,7320
"205",204,20140723,389999,4,2.5,1890,15770,2,0,0,4,7,1890,1968,0,98166,47.4281,-122.343,2410,15256
"206",205,20150224,630000,4,1.75,2950,9025,1,0,2,4,8,1780,1975,0,98034,47.7128,-122.223,2120,9600
"207",206,20141022,360000,4,2.5,2160,9528,2,0,0,3,9,2160,1992,0,98001,47.3341,-122.255,2280,9937
"208",207,20141002,580000,4,3,3280,11060,2,0,0,3,8,2270,1986,0,98056,47.5399,-122.181,2320,11004
"209",208,20140709,550000,3,2,1970,4166,2,0,3,5,8,1270,1929,0,98126,47.5717,-122.375,2390,4166
"210",209,20140710,879000,4,2.5,3360,22111,2,0,0,3,10,3360,1994,0,98075,47.5951,-122.017,3150,11374
"211",210,20150304,446500,3,2.5,2650,7286,2,0,0,3,8,2650,1990,0,98059,47.5084,-122.154,2400,7220
"212",211,20140602,404000,3,1.5,2030,8880,1,0,0,3,7,1330,1963,0,98108,47.5586,-122.311,2140,5592
"213",212,20140624,3075000,4,5,4550,18641,1,1,4,3,10,2600,2002,0,98074,47.6053,-122.077,4550,19508
"214",213,20140811,335000,3,2.5,2440,7632,2,0,0,3,8,2440,1998,0,98003,47.3494,-122.301,2510,7903
"215",214,20140619,576000,3,2.5,1940,9000,1,0,0,4,7,970,1948,0,98117,47.6933,-122.393,2190,7310
"216",215,20150401,208633,3,2.5,2040,3810,2,0,0,3,8,2040,2006,0,98038,47.3537,-122,2370,4590
"217",216,20150115,315000,3,2.25,2200,8750,1,0,0,4,7,1120,1964,0,98166,47.476,-122.337,1460,10139
"218",217,20150228,550700,2,1,1010,5000,1.5,0,0,4,6,1010,1908,0,98105,47.6692,-122.297,1460,5000
"219",218,20150108,665000,4,2.75,3320,10574,2,0,0,5,8,2220,1960,0,98056,47.5376,-122.18,2720,8330
"220",219,20150209,834000,4,2.5,2370,4000,1.5,0,2,5,8,1980,1928,0,98144,47.601,-122.294,2440,5750
"221",220,20141023,201000,5,1.75,1660,78408,1.5,0,0,3,6,1660,1915,0,98065,47.529,-121.837,1660,78408
"222",221,20140502,2384000,5,2.5,3650,9050,2,0,4,5,10,3370,1921,0,98119,47.6345,-122.367,2880,5400
"223",222,20140618,1384000,4,3.25,4290,12103,1,0,3,3,11,2690,1997,0,98006,47.5503,-122.102,3860,11244
"224",223,20141105,305000,4,2.25,1950,7700,1,0,0,3,8,1350,1979,0,98058,47.4441,-122.125,2150,7350
"225",224,20150408,487000,3,2,2590,14052,1,0,0,5,8,1720,1948,0,98133,47.7357,-122.333,1570,8162
"226",225,20140723,548000,2,1,1470,3864,1,0,0,4,7,1170,1916,0,98103,47.6638,-122.345,1570,3864
"227",226,20141122,268750,4,1,800,8775,1,0,0,3,6,800,1943,0,98166,47.48,-122.336,1310,8775
"228",227,20150311,240500,2,1,1240,12092,1,0,0,3,6,960,1922,1984,98146,47.4957,-122.352,1820,7460
